reactor,fa,fb,fe,ok
35,70,0,0,1
35,70,0,3.68421052631579,1
35,70,0,7.36842105263158,1
35,70,0,11.0526315789474,1
35,70,0,14.7368421052632,1
35,70,0,18.421052631579,1
35,70,0,22.1052631578947,1
35,70,0,25.7894736842105,1
35,70,0,29.4736842105263,1
35,70,0,33.1578947368421,1
35,70,0,36.8421052631579,1
35,70,0,40.5263157894737,1
35,70,0,44.2105263157895,1
35,70,0,47.8947368421053,0
35,70,0,51.5789473684211,0
35,70,0,55.2631578947368,0
35,70,0,58.9473684210526,0
35,70,0,62.6315789473684,0
35,70,0,66.3157894736842,0
35,70,0,70,0
35,70,18.421052631579,0,1
35,70,18.421052631579,3.68421052631579,1
35,70,18.421052631579,7.36842105263158,1
35,70,18.421052631579,11.0526315789474,1
35,70,18.421052631579,14.7368421052632,1
35,70,18.421052631579,18.421052631579,1
35,70,18.421052631579,22.1052631578947,1
35,70,18.421052631579,25.7894736842105,1
35,70,18.421052631579,29.4736842105263,1
35,70,18.421052631579,33.1578947368421,1
35,70,18.421052631579,36.8421052631579,1
35,70,18.421052631579,40.5263157894737,1
35,70,18.421052631579,44.2105263157895,1
35,70,18.421052631579,47.8947368421053,0
35,70,18.421052631579,51.5789473684211,0
35,70,18.421052631579,55.2631578947368,0
35,70,18.421052631579,58.9473684210526,0
35,70,18.421052631579,62.6315789473684,0
35,70,18.421052631579,66.3157894736842,0
35,70,18.421052631579,70,0
35,70,36.8421052631579,0,1
35,70,36.8421052631579,3.68421052631579,1
35,70,36.8421052631579,7.36842105263158,1
35,70,36.8421052631579,11.0526315789474,1
35,70,36.8421052631579,14.7368421052632,1
35,70,36.8421052631579,18.421052631579,1
35,70,36.8421052631579,22.1052631578947,1
35,70,36.8421052631579,25.7894736842105,1
35,70,36.8421052631579,29.4736842105263,1
35,70,36.8421052631579,33.1578947368421,1
35,70,36.8421052631579,36.8421052631579,1
35,70,36.8421052631579,40.5263157894737,1
35,70,36.8421052631579,44.2105263157895,1
35,70,36.8421052631579,47.8947368421053,0
35,70,36.8421052631579,51.5789473684211,0
35,70,36.8421052631579,55.2631578947368,0
35,70,36.8421052631579,58.9473684210526,0
35,70,36.8421052631579,62.6315789473684,0
35,70,36.8421052631579,66.3157894736842,0
35,70,36.8421052631579,70,0
35,70,55.2631578947368,0,1
